LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,41,27,14,17.2,45.2,17.6,32.6,54.1,4.7,11.2,41.9,5.2,7,75.1,3.6,12,15.5,12.3,4.6,3,1.3,1.5,5.4,6.6,4.9
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - B. Brown,40,27,13,8.2,20.5,7.7,14.5,53,2,5.3,37.6,3.2,4.2,75,1.7,5.4,7.1,5.4,2.2,1.2,0.8,0.6,2.8,4,1.5
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - M. Porter Jr.,34,22,12,6.6,17.7,6.5,12.2,53.4,1.7,4.4,38.9,3,3.6,81.5,1.2,4.6,5.8,4.6,1.8,1,0.7,0.6,2.5,2.7,2.1
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - C. Braun,26,16,10,2.5,6.5,2.5,4.3,57.5,0.5,1.2,45.2,0.9,1.1,82.8,0.5,1.8,2.3,1.7,1,0.7,0.3,0.3,1.2,1.2,1.4
A. Gordon - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,15,12,3,4,10.5,4,7.1,56.6,1.4,3,46.7,1.1,1.4,76.2,0.8,3.2,4,2.9,1.3,0.5,0.5,0.4,1.1,1.3,2.6
K. Caldwell-Pope - A. Gordon - N. Jokic - B. Brown - B. Hyland,15,12,3,1.6,3.8,1.6,3.1,52.2,0.4,0.7,54.5,0.2,0.3,60,0.6,0.9,1.5,1.1,0.4,0.1,0,0.1,0.5,0.6,-0.4
J. Green - K. Caldwell-Pope - N. Jokic - J. Murray - B. Brown,15,10,5,1.2,2.9,1.1,2.4,44.4,0.2,0.5,42.9,0.5,0.6,88.9,0.4,0.8,1.2,0.5,0.3,0.1,0.1,0.1,0.3,0.6,-0.3
K. Caldwell-Pope - N. Jokic - V. Cancar - B. Brown - M. Porter Jr.,14,14,0,5.7,15.3,5.9,10.6,55.4,1.4,3.5,38.8,2.2,2.5,88.6,1.1,3.6,4.8,4.4,1.4,0.8,0.6,0.5,1.2,2.5,2.4
J. Green - K. Caldwell-Pope - N. Jokic - B. Brown - C. Braun,13,9,4,1.5,4.5,1.7,2.7,62.9,0.5,0.9,58.3,0.5,0.6,87.5,0.2,0.8,1,1.3,0.5,0.6,0.2,0.1,0.7,0.5,0.8
A. Gordon - N. Jokic - J. Murray - B. Brown - C. Braun,11,10,1,0.8,1.6,0.7,1.5,50,0.2,0.7,25,0,0.2,0,0.1,0.8,0.9,0.4,0.4,0,0,0,0.2,0.3,0
J. Green - N. Jokic - J. Murray - B. Brown - C. Braun,10,8,2,1.7,4.3,1.5,2.5,60,0.4,0.8,50,0.9,1.1,81.8,0,0.9,0.9,1.1,0.9,0.4,0.3,0,0.4,0.9,0.1
A. Gordon - N. Jokic - J. Murray - B. Brown - B. Hyland,10,8,2,0.7,2.2,1,1.1,90.9,0.1,0.1,100,0.1,0.1,100,0,0.2,0.2,0.7,0.3,0.1,0.1,0,0,0.1,0.2
J. Green - K. Caldwell-Pope - A. Gordon - J. Murray - B. Brown,10,3,7,0.6,2.1,0.7,0.8,87.5,0.5,0.5,100,0.2,0.3,66.7,0,0.1,0.1,0.7,0.2,0.1,0.1,0.1,0.2,0.3,0.5
A. Gordon - N. Jokic - B. Brown - B. Hyland - C. Braun,10,7,3,0.4,1.1,0.3,0.4,75,0.1,0.2,50,0.4,0.6,66.7,0.1,0.4,0.5,0.2,0.3,0,0.1,0,0.3,0.4,0.3
J. Murray - V. Cancar - B. Brown - Z. Nnaji - B. Hyland,9,7,2,6.6,14.9,5,12.6,39.8,2.3,5.6,42,2.6,3.8,67.6,2.2,3.9,6.1,2,1.4,0.9,0.3,0.8,2.8,2.7,-0.4
K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - C. Braun,9,7,2,2.7,7.1,3.3,5.4,61.2,0.3,1.7,20,0.1,0.1,100,0.3,2.1,2.4,2.3,0.7,0.6,0.3,0.2,0.2,0.6,0.7
J. Green - N. Jokic - B. Brown - B. Hyland - C. Braun,9,7,2,2.1,5.7,1.9,3.8,50,0.6,1.4,38.5,1.3,2,66.7,0.4,1.8,2.2,1.4,0.4,0.1,0.1,0.1,0.4,1.7,1
N. Jokic - J. Murray - V. Cancar - B. Brown - B. Hyland,9,8,1,2,5.1,2,3.6,56.3,0.3,1.2,27.3,0.8,0.9,87.5,0.3,1.1,1.4,1.4,1,0.4,0.2,0.3,0.7,1,-0.6
J. Green - K. Caldwell-Pope - N. Jokic - J. Murray - M. Porter Jr.,9,5,4,1.6,4.2,1.4,3.2,44.8,0.4,0.8,57.1,0.9,1,88.9,0.8,0.9,1.7,0.7,0.3,0.2,0,0.1,0.7,1,1.2
J. Green - N. Jokic - J. Murray - B. Brown - M. Porter Jr.,9,7,2,1.2,3.2,0.9,1.7,53.3,0.6,1.1,50,0.9,0.9,100,0,1,1,0.7,0.3,0.2,0,0.1,0.9,0.7,0.2
J. Green - A. Gordon - N. Jokic - J. Murray - B. Brown,9,6,3,1,2.7,0.9,1.9,47.1,0.1,0.4,25,0.8,0.8,100,0.3,0.6,0.9,0.6,0.2,0.3,0,0.3,0.2,0.4,0.4
